,stars,name,feedback,avg_sent,gender,num_words,emoji
1525,5,ZarinaAlexandrovna,красивый цвет ткань плотный присутствовать стретч,6.0,F,6,0
1526,5,Елена,приятный цвет хороший мера плотный ткань размер размер рекомендовать клёвый вещь,3.5,F,14,0
1527,5,кнарик,зима толстой качественный,5.0,F,5,0
1528,5,Александра,цвет интересный тёплый размер базовый вещь,3.5,F,7,0
1529,5,Dasha,удобный размер совпадать,3.0,F,3,0
1530,5,Аня,,1.0,F,1,1
1531,5,Евгения,топ классный фото,5.0,F,5,0
1532,4,Александра,обычный качество хороший эффект вау произвести,9.0,F,9,0
1533,5,Дамина,хороший качество немного маломерить,5.0,F,5,0
1534,5,фая,качество отличный материал хлопок понравиться,2.333333333333333,F,7,0
1535,5,Наталья,отличный дом тренировка большой никуда ходить просто,12.0,F,12,1
1536,5,Наталья,классный майк взять размер большой наугад норма oysho мерить большой рискнуть взять заморачиваться возврат,8.666666666666666,F,26,0
1537,5,Ксения,оверсайза смотреться отлично,4.0,F,4,0
1538,5,Alena,отличный базовый стиль оверсайза короткий,7.0,F,7,0
1539,5,Анна,взять размер большой выйти отличный оверсайза успеть потренить приятный тело лето самый довольный слон,13.0,F,26,0
1540,5,Алина,взять размер большой классно смотреться оверсайза выкупить,5.5,F,11,1
1541,5,Александра,базовый оверсайза,1.5,F,3,0
1542,5,Бессонова Татьяна,хороший качество широко вата отказ,6.0,F,6,0
1543,5,Марианна,приятный тело бюстгальтер,7.0,F,7,0
1544,5,Nina,качество материал прекрасный широкий достаточно короткий целое смотреться,13.0,F,13,0
1545,5,светлана,честно надевать ещё заказать выкупить уверить качество продукция фирма,5.333333333333333,F,16,0
1546,5,Римма,понравиться качество хороший размер соответствовать,6.0,F,6,0
1547,5,Фадеев Сергей,качество нормальный цена дешёвый фирменный магазин размер соответствовать,5.5,F,11,0
1548,5,Анна,идеальный,2.0,F,2,0
1549,5,Вероника,отличный,1.0,F,1,0
1550,5,оксана,суперскай футболочка лето джинсы самый,4.5,F,9,1
1551,5,Влад,супер,3.0,F,3,1
1552,5,Ольга,качество хороший зайти простенький,3.5,F,7,0
1553,5,Дарья,качественный базовый брать тренажёрный зал смотреться джинсы повседневный носка размер взять село изумительно целое довольный,7.0,F,28,0
1554,5,Екатерина,хороший базовый большемерка показаться идти размер длина хороший длинный вырез сильно глубокий размер 100 100 размер самый нисколько оверсайза,7.2,F,36,0
1555,3,ева,маломерить просто фасон перезаказаоа размер большой,4.5,F,9,0
1556,5,Татьяна,майк хороший украсить брать куча видеть смысл цена идти свободно,6.666666666666667,F,20,0
1557,5,Влад,классный,1.5,F,3,1
1558,5,Екатерина,приятный материал хотеться снимать классный модель приталенный соответствовать размер,7.0,F,14,0
1559,5,Наталья,классный хороший качество длинный свободный,7.0,F,7,0
1560,5,Татьяна,нормальный мягкий лето приталенный взгляд идти размер хотя многие писать большемерить просто свободный фасон,2.857142857142857,F,20,0
1561,5,Бурцева Варвара,качество рекомендовать,3.0,F,3,1
1562,5,Светлана,отличный качество плотный ткань редкий случай штрихкод указывать именно товар посмотреть европейский цена около евро примерно 1500 руб купить 1520 размер размер короткий рост 165 длина идеальный размер,5.25,F,42,0
1563,5,Ксения,хороший качественный товар стильный модель шов аккуратный размер соответствовать рекомендовать,2.75,F,11,0
1564,3,Анастасия,любовь бренд levi вообще впечатлить итог купить бренд 800 рубль плотный хлопок,13.0,F,26,0
1565,5,вероника,качество высота,5.0,F,5,0
1566,5,Татьяна,белоснежный плотный ткань отличный качество размер соответствовать,7.0,F,7,0
1567,5,Ирина,качество хороший,2.0,F,2,0
1568,5,Юрченко Олеся,довольный плотный просвечивать шов ровный базовый джинсы идеально,6.5,F,13,0
1569,5,Екатерина,качество супер,2.0,F,2,0
1570,5,Маргарита,хотеть классика белый спорт хороший качество,8.0,F,8,0
1571,5,Анастасия,классный приятный тело свой взять крой показаться слишком свободный,16.0,F,16,0
1572,5,Валерия,качество супер плотный прямой носить взять слишком свободно думать село хороший,10.0,F,20,0
1573,5,измайлова юлия,хороший качественно сшить ткань приятный,6.0,F,6,0
1574,5,измайлова юлия,приятный ткань,3.0,F,3,0
1575,5,Арина,качественный немного просвечивать размер размер,2.0,F,6,0
1576,5,Рената,любить брэнд дать стать исключение хороший ткань качество уровень,14.0,F,14,0
1577,5,Юлия,супер,2.0,F,2,0
1578,5,Оксана,размер сесть свободно хороший базовый,13.0,F,13,0
1579,5,Ксения,фото внизу свободный хороший белый,4.0,F,8,0
1580,5,Татьяна,форма вырез понравиться именно любить брать белый чёрный рост 164 смотреть вырез глубокий подойти ткань приятный,4.5,F,27,0
1581,5,Татьяна,понравиться,1.0,F,1,0
1582,5,Ирина,отличный,2.0,F,2,0
1583,3,Кристина,понравиться сидеть глубокий вырез широкий крой,2.6666666666666665,F,8,0
1584,5,Ксения,классный стильный качественный материал прошивка шов чёткий либо клей смотреться дорого рекомендовать,4.25,F,17,0
1585,5,Елена,качество супер большемерить размер,2.5,F,5,0
1586,5,Екатерина,,1.0,F,1,0
1587,5,Анастасия,отличный качество приобрести скидка пожалеть,4.0,F,8,0
1588,5,Елена,,1.0,F,1,1
1589,5,карина,хороший,1.0,F,1,0
1590,5,Виктория,обычный качественный,3.0,F,3,0
1591,3,МАРЖАН,иметь ввиду пожелтеть ткань,5.0,F,5,0
1592,5,Чернова Лена,отличный рекомендовать хотеть свободный размер большой брать,3.333333333333333,F,10,0
1593,5,Ксения,плотный качество стильный вырез интересный растягиваться,2.6666666666666665,F,8,0
1594,5,София,отличный качество,2.0,F,2,0
1595,5,вероника,майк классный огромный взять свой размер оказаться xxl равно оставить прикольный принт микки,25.0,F,25,0
1596,5,Наталия,классный рисунок фото яркий оверсайза большемерить,9.0,F,9,0
1597,5,Надежда,хороший размер фото оверсайза качество отличный принт чёткий яркий,18.0,F,18,0
1598,2,Мариана,короткий вообще маломерить сильно размер впритык хотя носить,15.0,F,15,0
1599,3,Овчинникова Лариса,маломерка идти наверное качество хороший,10.0,F,10,0
1600,5,Daria,хороший,2.0,F,2,0
1601,5,lusi,классный маечка,2.0,F,2,0
1602,5,Азиза,любимый носить разный цвета,6.0,F,6,0
1603,5,олеся,крутой,3.0,F,3,0
1604,5,Александра,плотный симпатичный,3.0,F,3,0
1605,3,Александра,качество хороший укорочить смотреться,8.0,F,8,0
1606,5,Ирина,хороший качество размер размер,2.5,F,5,0
1607,5,Диана,хороший маломерить чуткий перезаказать размер большой,4.5,F,9,0
